"games_id","team","field","opp","result","Q1","Q2","Q3","Q4","Q5","team_total","total","FG","SAF","TD"
"2018090600","PHI","H","@ATL","W",0,3,7,8,0,18,30,1,0,2
"2018090600","ATL","A","PHI","L",3,3,0,6,0,12,30,2,0,1
"2018090900","BAL","H","@BUF","W",14,12,14,7,0,47,50,2,0,6
"2018090900","BUF","A","BAL","L",0,0,3,0,0,3,50,1,0,0
"2018090907","NYG","H","@JAX","L",3,3,3,6,0,15,35,3,0,1
"2018090907","JAX","A","NYG","W",3,10,0,7,0,20,35,2,0,2
"2018090906","NO","H","@TB","L",10,14,0,16,0,40,88,1,0,5
"2018090906","TB","A","NO","W",14,17,10,7,0,48,88,2,0,6
"2018090905","NE","H","@HOU","W",7,14,3,3,0,27,47,2,0,3
"2018090905","HOU","A","NE","L",3,3,7,7,0,20,47,2,0,2
"2018090904","MIN","H","@SF","W",3,7,14,0,0,24,40,1,0,3
"2018090904","SF","A","MIN","L",0,3,10,3,0,16,40,3,0,1
"2018090903","MIA","H","@TEN","W",0,7,3,17,0,27,47,2,0,3
"2018090903","TEN","A","MIA","L",3,0,0,17,0,20,47,2,0,2
"2018090902","IND","H","@CIN","L",3,13,7,0,0,23,57,3,0,2
"2018090902","CIN","A","IND","W",3,7,7,17,0,34,57,2,0,4
"2018090901","CLE","H","@PIT","Tie",0,0,7,14,0,21,42,0,0,3
"2018090901","PIT","A","CLE","Tie",0,7,14,0,0,21,42,0,0,3
"2018090908","LAC","H","@KC","L",6,6,0,16,0,28,66,2,0,3
"2018090908","KC","A","LAC","W",14,3,14,7,0,38,66,1,0,5
"2018090911","DEN","H","@SEA","W",7,10,3,7,0,27,51,2,0,3
"2018090911","SEA","A","DEN","L",7,3,7,7,0,24,51,1,0,3
"2018090910","CAR","H","@DAL","W",0,10,0,6,0,16,24,1,0,2
"2018090910","DAL","A","CAR","L",0,0,0,8,0,8,24,0,0,1
"2018090909","ARI","H","@WAS","L",0,0,0,6,0,6,30,0,0,1
"2018090909","WAS","A","ARI","W",0,21,0,3,0,24,30,1,0,3
"2018090912","GB","H","@CHI","W",0,0,3,21,0,24,47,1,0,3
"2018090912","CHI","A","GB","L",7,10,3,3,0,23,47,3,0,2
"2018091000","DET","H","@NYJ","L",7,3,7,0,0,17,65,1,0,2
